1	2	85.584866	74.319474	52.233704	31.620125	0.792473	0.901611	0.658771	0.334036	1.276716	1.000000	0.032848	8.507601	5.000000	0.016110	11.374367	5.000000	0.100564	2.297798	4.000000	0.065645	0.384722	2.000000	60.316915	166.300329	4.000000	84.636497	56.002497	4.000000	0.011002	0.615702	3.000000	0.442955
2	1	29.176926	59.209000	98.567100	4.519250	0.298681	0.723789	0.446143	0.624296	1.082086	2.000000	0.016476	147.076607	5.000000	0.015067	42.802453	1.000000	0.010734	1.087565	3.000000	0.035024	0.621480	2.000000	12.345851	68.935567	2.000000	35.049600	38.645399	1.000000	0.058050	0.266065	4.000000	0.010480
3	1	10.383290	50.149036	94.274559	61.859123	0.129482	0.278328	0.708155	0.793395	0.086031	3.000000	0.013863	35.247353	3.000000	0.023722	40.949156	4.000000	0.056955	0.608551	5.000000	0.011860	0.640638	1.000000	11.042193	39.647544	5.000000	39.294687	33.158916	5.000000	0.021146	0.179404	2.000000	0.019423
4	1	39.476177	21.013300	80.232942	14.694991	0.337988	0.859185	0.644689	0.575888	1.004272	3.000000	0.068938	64.860039	6.000000	0.107370	8.646236	3.000000	0.021321	2.712698	2.000000	0.013770	0.118453	5.000000	51.108676	143.116686	2.000000	8.115642	46.599473	1.000000	0.360273	1.510792	6.000000	0.409693
5	2	27.358879	7.013182	74.818479	12.749630	0.658479	0.132518	0.387717	0.172359	0.467539	4.000000	0.027188	120.596002	4.000000	0.016642	7.721448	4.000000	0.017835	1.071286	2.000000	0.014243	0.767430	4.000000	53.564531	67.982624	3.000000	51.689728	6.807277	3.000000	0.125006	0.775876	2.000000	0.011832
6	1	21.578114	10.739814	1.157381	42.712310	0.602270	0.637993	0.116371	0.995038	1.359763	5.000000	0.058174	34.018699	1.000000	0.050498	42.158259	3.000000	0.045075	2.884225	2.000000	0.015381	0.942937	6.000000	51.347669	126.990668	3.000000	46.043151	32.090606	1.000000	0.012673	1.107344	6.000000	0.016756
7	1	17.187063	59.549082	89.621145	45.962601	0.902557	0.468618	0.990436	0.643076	1.427109	4.000000	0.021532	155.893781	4.000000	0.128592	37.545555	5.000000	0.049796	3.331407	5.000000	0.032414	0.919431	2.000000	88.275415	16.314839	4.000000	51.325108	52.696545	3.000000	0.039399	0.207711	6.000000	0.134126
8	1	44.489623	86.595125	45.683382	86.210248	0.221465	0.345904	0.947140	0.980256	1.241978	3.000000	0.071130	77.261098	6.000000	0.012694	28.968678	6.000000	0.016366	2.910385	5.000000	0.105129	1.516788	3.000000	44.519610	145.901517	2.000000	40.268361	9.779950	2.000000	0.017122	1.041373	1.000000	0.036689
9	2	58.643795	92.718172	44.133844	29.957016	0.452483	0.618196	0.810015	0.274455	0.159107	1.000000	0.015077	15.417200	5.000000	0.018105	53.177107	4.000000	0.026653	0.108616	2.000000	0.024524	1.381144	5.000000	26.290083	71.004493	4.000000	43.443340	49.969842	2.000000	0.021785	1.405197	4.000000	0.040241
10	1	58.174879	38.445811	20.479020	70.581513	0.973782	0.669915	0.947745	0.929241	1.674794	4.000000	0.013223	71.861163	4.000000	0.016863	4.441732	1.000000	0.012965	1.980783	4.000000	0.010281	1.445336	6.000000	60.065957	108.641309	3.000000	96.970927	26.615879	4.000000	0.013607	0.867543	4.000000	0.020941
11	2	76.903531	18.498725	83.090956	45.169043	0.654149	0.871070	0.443224	0.236144	0.790767	4.000000	0.020416	13.534554	3.000000	0.022835	23.233402	5.000000	0.011026	0.368928	3.000000	0.100800	0.940078	6.000000	79.171011	80.445911	1.000000	35.076213	42.651244	2.000000	0.020273	0.749875	5.000000	0.053060
12	2	44.568114	11.900984	92.845526	61.563017	0.843894	0.482621	0.954723	0.751010	0.397943	5.000000	0.012244	65.547098	4.000000	0.111054	49.742727	4.000000	0.035940	0.234954	5.000000	0.027654	1.524179	6.000000	35.947179	139.248681	5.000000	70.673778	8.851123	5.000000	0.107590	0.677508	6.000000	0.027371
13	2	27.413316	3.852311	29.006425	33.691283	0.542059	0.460445	0.193763	0.413731	1.008252	4.000000	0.016512	117.295523	1.000000	0.023753	6.527684	2.000000	0.039479	1.346599	6.000000	0.011589	1.025302	6.000000	35.491907	23.662710	6.000000	40.698393	55.980095	4.000000	0.030087	1.196880	5.000000	0.011983
